;;Mes anterior;1Q JUL;;Mes actual;1Q AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;julio;2Q JUL;;agosto;2Q AGO;;;;;Nota:;Las formulas de Martella pond acumulado y The Rock pond acumulado son diferentes para obras con periodo de arranque 1Q y 2Q, ver bien eso al agregar una nueva obra a la base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;jul-26;1Q JUL 26;;ago-26;1Q AGO 26;;;;;;"Los valores de ""Certificado previsto"" para los 2 meses próximos por ahora los copió de Evolución - Curvas de Inversión para freezar el dato. A partir de Jul-26 están a valor presente con anticipo descontado.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;2Q JUL 26;;;2Q AGO 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ARN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;2Q DIC 25;1Q ENE 26;2Q ENE 26;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Hs reales;220;442;448;510;680;1027;1229;1255;1587;1511;1648;1469;1811;1894;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;2Q DIC 25;1Q ENE 26;2Q ENE 26;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Martella;1.08;1.10;1.11;1.09;1.07;1.05;1.03;0.99;1.02;1.03;1.05;1.03;1.01;0.98;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;2Q DIC 25;1Q ENE 26;2Q ENE 26;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;The Rock;0.91;0.69;0.76;1.15;0.59;0.53;0.62;1.00;0.59;0.51;0.89;1.51;0.74;0.73;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Martella pond mensual;1.08;1.10;1.08;1.04;1.00;1.04;1.02;0.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;The Rock pond mensual;0.91;0.72;0.83;0.58;0.77;0.70;1.09;0.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Martella pond acumulado;1.08;1.10;1.09;1.06;1.04;1.04;1.04;1.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;The Rock pond acumulado;0.91;0.76;0.79;0.69;0.72;0.71;0.80;0.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Pase licitacion;1.34;1.37;1.32;1.32;1.32;1.32;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Pase esperado;1.33;1.35;1.28;1.26;1.23;1.20;1.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Coef de pase;1.01;1.01;1.03;1.05;1.07;1.10;1.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;;2Q DIC 25;1Q ENE 26;2Q ENE 26;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;1Q AGO 26;2Q AGO 26;1Q SEP 26;2Q SEP 26;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
ARN;Certificado real; $ 2,209,750 ; $ 30,185,542 ; $ 49,576,594 ; $ 9,821,139 ; $ 3,905,781 ; $ 4,031,775 ; $ 7,803,824 ; $ 14,630,431 ; $ 10,795,976 ; $ 8,962,994 ; $ 17,100,404 ; $ 16,170,630 ; $ 13,480,765 ; $ 12,103,275 ; $ 32,618,732 ; $ 26,733,010 ; $ 41,732,770 ; $ 33,949,123 ; $ 29,593,599 ; $ 24,926,374 ; $ 35,649,325 ; $ 32,693,290 ;;;;;;;;;;;;;;;;;;;;;;;
ARN;Certificado previsto; $ 40,552,390 ; $ 22,149,020 ; $ 65,935,379 ; $ 10,624,632 ; $ 6,832,222 ; $ 5,222,815 ; $ 9,280,174 ; $ 15,811,312 ; $ 11,692,153 ; $ 8,434,977 ; $ 16,018,012 ; $ 15,593,060 ; $ 30,073,556 ; $ 12,213,647 ; $ 32,916,189 ; $ 26,976,794 ; $ 42,113,340 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Adicionales;;; $ 3,646,247 ;;; $ 2,116,769 ; $ 907,187 ;;;;; $ 11,347,500 ; $ 3,782,500 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Avance acumulado;0.29%;4.22%;10.67%;11.95%;12.46%;12.98%;14.00%;15.90%;17.31%;18.48%;20.70%;22.81%;24.56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Avance proyectado;;;;;;;17.58%;;20.49%;;26.65%;22.73%;26.65%;26.14%;30.39%;33.87%;39.30%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARN;Avance inicial;5.28%;11.59%;12.61%;13.97%;15.83%;18.36%;20.86%;23.37%;26.83%;30.21%;33.49%;36.79%;40.10%;43.40%;46.63%;51.33%;56.63%;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DELG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;Hs reales;195;236;355;721;763;727;905;1003;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;Martella;0.92;0.93;0.94;0.99;1.00;1.01;1.01;1.03;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;The Rock;0.12;0.12;0.12;0.81;0.81;0.72;0.72;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;Martella pond mensual;0.92;0.93;0.99;1.01;1.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;The Rock pond mensual;;0.12;0.81;0.72;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DELG;;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
